R4A_Id	CompoundID	PLD_Effect(%)_A549-ACE2	Label_A549-ACE2	HIT_Phospholipidosis  Y/N	CompoundID_dupl	NAME	PLD_Effect(%)_VERO-E6	Label_VERO-E6
R4A_0001762_001	SPE_A54490543	0.452874826	inactive	N	SPE_A54490543	pirlindole	51.51	active
R4A_0004935_001	SPE_K28007504	0.826960706	active	Y	SPE_K28007504	Ro-60-0175 fumarate	50.67	active
R4A_0000110_001	SPE_K59711701	0.983959989	active	Y	SPE_K59711701	ORY-1001 (RG-6016) 2HCl	65.68	active
R4A_0002277_001	SPE_K44400149	0.835674706	active	Y	SPE_K44400149	PhiKan-083	73.26	active
R4A_0000411_001	SPE_K47659338	0.791434283	active	Y	SPE_K47659338	EMD-386088	96.78	active
R4A_0001262_001					SPE_K36732695	Setiptiline	52.71	active
R4A_0003273_001	SPE_K91263825	0.052453435	inactive	N	SPE_K91263825	NORTRIPTYLINE HYDROCHLORIDE	64.42	active
R4A_0003620_001	SPE_K61734568	-0.070279217	inactive	N	SPE_K61734568	"2,3-DCPE"	55.39	active
R4A_0003594_001	SPE_K18779551	0.988741094	active	Y	SPE_K18779551	bifemelane	74.49	active
R4A_0001988_001	SPE_K42348709	0.513469692	inactive	N	SPE_K42348709	CYCLOBENZAPRINE HYDROCHLORIDE	71.09	active
R4A_0003591_001					SPE_K25433859	MAPROTILINE HYDROCHLORIDE	107.45	active
R4A_0005440_001	SPE_K89055274	0.637472069	active	Y	SPE_K89055274	ALVERINE CITRATE	58.85	active
R4A_0003398_001	SPE_A46335897	0.964679585	active	Y	SPE_A46335897	PROMETHAZINE HYDROCHLORIDE	55.44	active
R4A_0002001_001	SPE_K62289640	0.008045649	inactive	N	SPE_K62289640	lylamine	80.55	active
R4A_0001878_001	SPE_K28143534	0.049571033	inactive	N	SPE_K28143534	CYPROHEPTADINE HYDROCHLORIDE	77.27	active
R4A_0000109_001	SPE_A17428743	0.116035989	inactive	N	SPE_A17428743	BW-723C86	55.23	active
R4A_0004089_001	SPE_K01649396	0.109926596	inactive	N	SPE_K01649396	indatraline	71.1	active
R4A_0003396_001	SPE_K62398570	0.229385057	inactive	N	SPE_K62398570	Lerisetron	51.91	active
R4A_0000199_001	SPE_A52660433	-0.018236276	inactive	N	SPE_A52660433	tetrindole	84.18	active
R4A_0004692_001	SPE_A79769222	1.080183129	active	Y	SPE_A79769222	norfluoxetine	62.25	active
R4A_0005355_001	SPE_K71103788	0.914514938	active	Y	SPE_K71103788	DULOXETINE HYDROCHLORIDE	92.59	active
R4A_0005215_001					SPE_K53963539	VORTIOXETINE HYDROBROMIDE	57.27	active
R4A_0000169_001	SPE_K17008822	0.624954199	active	Y	SPE_K17008822	BD-1008	51.3	active
R4A_0005488_001	SPE_K41662846	0.929816852	active	Y	SPE_K41662846	tecalcet	70.08	active
R4A_0004448_001	SPE_K70464547	-0.076952316	inactive	N	SPE_K70464547	SERTRALINE HYDROCHLORIDE	56.06	active
R4A_0003868_001	SPE_A25043798	0.026718571	inactive	N	SPE_A25043798	casin	89.37	active
R4A_0000577_001	SPE_K28542495	0.652434483	active	Y	SPE_K28542495	BENZYDAMINE HYDROCHLORIDE	51.25	active
R4A_0003836_001	SPE_A31159102	1.086969644	active	Y	SPE_A31159102	FLUOXETINE HYDROCHLORIDE	54.32	active
R4A_0001975_001	SPE_A42423104	0.816018164	active	Y	SPE_A42423104	Benproperine Phosphate	71.97	active
R4A_0002570_001	SPE_A33711280	-0.067661854	inactive	N	SPE_A33711280	metixene	74.21	active
R4A_0001916_001	SPE_K10042277	0.895080929	active	Y	SPE_K10042277	desmethylclozapine	77.73	active
R4A_0000505_001					SPE_A16311756	profenamine	63.93	active
R4A_0001634_001	SPE_A77091532	-0.01829451	inactive	N	SPE_A77091532	AT13148	63.12	active
R4A_0003629_001					SPE_K02265150	AMOXAPINE	69.96	active
R4A_0004656_001	SPE_A22769835	0.695569331	active	Y	SPE_A22769835	Homochlorcyclizine?2HCl	82.45	active
R4A_0004781_001					SPE_K36207157	CHLORPROTHIXENE HYDROCHLORIDE	51.07	active
R4A_0000067_001	SPE_A22267103	0.538868668	active	Y	SPE_A22267103	DROFENINE HYDROCHLORIDE	52.04	active
R4A_0005439_001	SPE_K89997465	-0.143938279	inactive	N	SPE_K89997465	CHLORPROMAZINE HYDROCHLORIDE	103.96	active
R4A_0004068_001	SPE_K71603915	0.515216578	inactive	N	SPE_K71603915	Encenicline hydrochloride	100.02	active
R4A_0001246_001	SPE_K70490179	1.089806971	active	Y	SPE_K70490179	rimcazole	99.92	active
R4A_0001425_001	SPE_A67616246	0.312146342	inactive	N	SPE_A67616246	levomequitazine	71.57	active
R4A_0002964_001					SPE_K53236343	aprindine	51.88	active
R4A_0003152_001	SPE_K92588747	0.92454935	active	Y	SPE_K92588747	2-CMDO	61.31	active
R4A_0000740_001	SPE_K68982262	0.522407056	active	Y	SPE_K68982262	A-987306	70.68	active
R4A_0000509_001	SPE_K65924316	0.883822332	active	Y	SPE_K65924316	JNJ 26854165 (Serdemetan)	73.97	active
R4A_0004528_001					SPE_K35559145	levomepromazine	52.97	active
R4A_0000979_001	SPE_A80908310	0.725191512	active	Y	SPE_A80908310	CLOPERASTINE HYDROCHLORIDE	63.93	active
R4A_0002084_001	SPE_K22749967	0.674090735	active	Y	SPE_K22749967	ABT 239 tartrate	66.83	active
R4A_0004294_001	SPE_K17743697	0.412298299	inactive	N	SPE_K17743697	KB-R7943	70	active
R4A_0000829_001	SPE_A63546914	0.609776663	active	Y	SPE_A63546914	Ro-04-5595	64.05	active
R4A_0003798_001	SPE_K09426783	-0.179377105	inactive	N	SPE_K09426783	TAS-103 (dihydrochloride)	76.68	active
R4A_0003939_001	SPE_K38527262	-0.025001402	inactive	N	SPE_K38527262	atiprimod	109.2	active
R4A_0002484_001	SPE_K12040459	-0.139827086	inactive	N	SPE_K12040459	AT7867	96.86	active
R4A_0003427_001	SPE_K59204667	0.014692619	inactive	N	SPE_K59204667	DBeQ	58.86	active
R4A_0002984_001	SPE_A51713165	0.020682654	inactive	N	SPE_A51713165	3-CPMT	98.31	active
R4A_0002007_001	SPE_A26334849	-0.018909104	inactive	N	SPE_A26334849	PROPAFENONE HYDROCHLORIDE	86.57	active
R4A_0002559_001	SPE_A85216385	0.763186889	active	Y	SPE_A85216385	3-alpha-bis-(4-fluorophenyl)-methoxytropane	61.55	active
R4A_0005193_001	SPE_K30240666	1.038086315	active	Y	SPE_K30240666	CLEMASTINE FUMARATE	90.57	active
R4A_0000960_001	SPE_K73746696	0.829509172	active	Y	SPE_K73746696	HLCL-61 (hydrochloride)	56.53	active
R4A_0001279_001	SPE_K70792160	-0.033970275	inactive	N	SPE_K70792160	10-DEBC	69.68	active
R4A_0005016_001	SPE_K63675182	0.967435671	active	Y	SPE_K63675182	TRIFLUPROMAZINE HYDROCHLORIDE	59.55	active
R4A_0001934_001	SPE_K90999434	0.698527051	active	Y	SPE_K90999434	CCT-031374	53.85	active
R4A_0000063_001	SPE_K15588452	0.926184243	active	Y	SPE_K15588452	R-96544	90.42	active
R4A_0003484_001					SPE_K91290917	AMODIAQUINE DIHYDROCHLORIDE	59.8	active
R4A_0004423_001	SPE_K73838513	1.038939919	active	Y	SPE_K73838513	AMG-073 HCl (Cinacalcet hydrochloride)	61.83	active
R4A_0003770_001	SPE_A07932845	-0.071179289	inactive	N	SPE_A07932845	METITEPINE MESYLATE	79.91	active
R4A_0000902_001					SPE_K24723746	SOLIFENACIN SUCCINATE	59.22	active
R4A_0005195_001	SPE_K43786866	0.359978124	inactive	N	SPE_K43786866	opipramol	50.32	active
R4A_0004250_001					SPE_A91008255	bepridil	66.79	active
R4A_0003563_001	SPE_K91244729	1.015697308	active	Y	SPE_K91244729	Propiverine Hydrochloride	63.8	active
R4A_0000606_001	SPE_K76239644	-0.171206034	inactive	N	SPE_K76239644	BMS-690514	58.99	active
R4A_0002131_001	SPE_A84481105	-0.012736196	inactive	N	SPE_A84481105	THIORIDAZINE HYDROCHLORIDE	68.14	active
R4A_0004893_001	SPE_A89585551	0.05474321	inactive	N	SPE_A89585551	MEFLOQUINE HYDROCHLORIDE	50.05	active
R4A_0005092_001	SPE_K41415459	0.706317516	active	Y	SPE_K41415459	RN-1	87.69	active
R4A_0000781_001	SPE_K31313613	0.637971892	active	Y	SPE_K31313613	BS-181	53.63	active
R4A_0002504_001	SPE_A68888262	0.57288718	active	Y	SPE_A68888262	AZELASTINE HYDROCHLORIDE	57.24	active
R4A_0001548_001					SPE_K32892871	JHW-007	51.38	active
R4A_0005456_001					SPE_K38477637		77.65	active
R4A_0000040_001	SPE_A33603104	0.854844517	active	Y	SPE_A33603104	RU-SKI-43	57.75	active
R4A_0000770_001	SPE_K22025381	-0.011601553	inactive	N	SPE_K22025381	U-18666A	61.01	active
R4A_0001038_001	SPE_K70914287	-0.05815945	inactive	N	SPE_K70914287	BIBX-1382	76.54	active
R4A_0000041_001	SPE_K73290745	0.998173014	active	Y	SPE_K73290745	ICI-199441	53.54	active
R4A_0003895_001					SPE_K77012840	AY-9944	111.44	active
R4A_0004307_001	SPE_K90410034	0.721764872	active	Y	SPE_K90410034	M8-B	85.43	active
R4A_0004994_001	SPE_K92781136	-0.113070682	inactive	N	SPE_K92781136	CID-2011756	56.28	active
R4A_0005247_001	SPE_A30693873	0.25927128	inactive	N	SPE_A30693873	DIPERODON HYDROCHLORIDE	54.35	active
R4A_0004873_001	SPE_K69600043	0.979634642	active	Y	SPE_K69600043	thiethylperazine	59.1	active
R4A_0005278_001	SPE_A91031770	0.044359736	inactive	N	SPE_A91031770	SB-268262	70.11	active
R4A_0001210_001	SPE_A45889380	-0.096541104	inactive	N	SPE_A45889380	QUINACRINE HYDROCHLORIDE	109.84	active
R4A_0004847_001	SPE_A72309220	0.036887795	inactive	N	SPE_A72309220	METERGOLINE	61.84	active
R4A_0003717_001	SPE_K10995081	0.106910293	inactive	N	SPE_K10995081	PERPHENAZINE	84.68	active
R4A_0000970_001	SPE_M75840137	0.036657667	inactive	N	SPE_M75840137	Eliglustat	51.92	active
R4A_0002564_001	SPE_K80700417	-0.105051812	inactive	N	SPE_K80700417	SGI-1776 free base	62.43	active
R4A_0001169_001	SPE_K29950728	-0.015900971	inactive	N	SPE_K29950728	CLOMIPHENE CITRATE	107.9	active
R4A_0004278_001	SPE_K68065987	-0.115557617	inactive	N	SPE_K68065987	MK-2206 dihydrochloride	87.13	active
R4A_0005357_001	SPE_K89732114	0.158110183	inactive	N	SPE_K89732114	TRIFLUOPERAZINE HYDROCHLORIDE	81.27	active
R4A_0004388_001	SPE_K59390331	0.915001492	active	Y	SPE_K59390331	Tarafenacin (D-tartrate)	71.42	active
R4A_0001026_001	SPE_K91403886	0.526811052	active	Y	SPE_K91403886	YIL-781	56.28	active
R4A_0001479_001	SPE_A22032524	0.437907933	inactive	N	SPE_A22032524	AMLODIPINE BESYLATE	53.28	active
R4A_0002919_001	SPE_A43005764	0.500804767	inactive	N	SPE_A43005764	CYM-5442	107.96	active
R4A_0002632_001	SPE_K34568562	-0.071430459	inactive	N	SPE_K34568562	TILORONE	57.19	active
R4A_0000434_001	SPE_K16277217	0.365684564	inactive	N	SPE_K16277217	piperacetazine	50.35	active
R4A_0004737_001	SPE_K42938903	0.526382247	active	Y	SPE_K42938903	ACETOPHENAZINE MALEATE	74.39	active
R4A_0005088_001	SPE_K85015012	-0.005373045	inactive	N	SPE_K85015012	NNC-05-2090	52.43	active
R4A_0000699_001	SPE_K43621685	0.104209921	inactive	N	SPE_K43621685	CP 673451	62.46	active
R4A_0001907_001	SPE_K70693421	0.816358158	active	Y	SPE_K70693421	Genz-123346 (free base)	63.36	active
R4A_0001304_001	SPE_K48449073	-0.037735545	inactive	N	SPE_K48449073	Y-29794 oxalate	77.02	active
R4A_0001355_001					SPE_K84605263	KHK-IN-1 (hydrochloride)	79.35	active
R4A_0000051_001	SPE_K25412176	0.770546986	active	Y	SPE_K25412176	Afuresertib	69.45	active
R4A_0000225_001	SPE_K38332599	0.920027803	active	Y	SPE_K38332599	Uprosertib	82.59	active
R4A_0000941_001	SPE_A34358106	0.429744111	inactive	N	SPE_A34358106	Sarpogrelate (hydrochloride)	64.28	active
R4A_0000059_001	SPE_K32289541	-0.026590695	inactive	N	SPE_K32289541	EHop-016	57.64	active
R4A_0004857_001	SPE_K24600306	0.970323364	active	Y	SPE_K24600306	ML-298	60.06	active
R4A_0001417_001	SPE_K60171656	-0.089131784	inactive	N	SPE_K60171656	Miransertib	91.93	active
R4A_0002837_001	SPE_K70487031	0.818522079	active	Y	SPE_K70487031	Flupentixol	83.63	active
R4A_0003296_001	SPE_K55127134	-0.040390364	inactive	N	SPE_K55127134	FLUPHENAZINE HYDROCHLORIDE	60.39	active
R4A_0000039_001					SPE_K24696047	NVP-AEW541	69.36	active
R4A_0002370_001	SPE_K36984403	-0.086963067	inactive	N	SPE_K36984403	Go 6983	120.48	active
R4A_0004968_001	SPE_K71667152	0.164734087	inactive	N	SPE_K71667152	SBE-13	59.28	active
R4A_0000876_001	SPE_K22127577	0.039729673	inactive	N	SPE_K22127577	Crenolanib (CP-868596)	64.19	active
R4A_0001117_001					SPE_K97309399	thiothixene	61.86	active
R4A_0001982_001	SPE_K49294207	-0.142145975	inactive	N	SPE_K49294207	BIBU-1361	97.02	active
R4A_0005411_001	SPE_K27737647	0.988659341	active	Y	SPE_K27737647	H-89	60.79	active
R4A_0002669_001	SPE_K93317811	1.128133797	active	Y	SPE_K93317811	VU-0364739	55.13	active
R4A_0003075_001	SPE_K84868168	0.131139344	inactive	N	SPE_K84868168	Erdafitinib	55.19	active
R4A_0004607_001	SPE_K08619574	0.390137451	inactive	N	SPE_K08619574	thioproperazine	50.31	active
R4A_0000575_001	SPE_K55192287	1.023650572	active	Y	SPE_K55192287	Ro 48-8071 (fumarate)	92.87	active
R4A_0002203_001	SPE_K40308497	1.017115046	active	Y	SPE_K40308497	(S)-crizotinib	70.17	active
R4A_0002203_002	SPE_K78431006	-0.005914431	inactive	N	SPE_K78431006	Crizotinib (PF-02341066)	75.03	active
R4A_0000450_001	SPE_K13949769	0.075735129	inactive	N	SPE_K13949769	Tenovin-6	146.84	active
R4A_0003956_001					SPE_A09533288	VERAPAMIL HYDROCHLORIDE	50.73	active
R4A_0003915_001	SPE_A39794701	-0.008633884	inactive	N	SPE_A39794701	DR-4485	70.17	active
R4A_0000697_001	SPE_K64857848	-0.033631899	inactive	N	SPE_K64857848	ERK5-IN-1	52.43	active
R4A_0003874_001	SPE_K60997853	-0.136644671	inactive	N	SPE_K60997853	PHA-848125	54.56	active
R4A_0002273_001					SPE_A78965079	tafenoquine	51.57	active
R4A_0000978_001					SPE_K37492701	BI-847325	81.84	active
R4A_0000139_001	SPE_K73293050	-0.064043506	inactive	N	SPE_K73293050	WZ3146	70.45	active
R4A_0004811_001	SPE_K08799216	-0.030565414	inactive	N	SPE_K08799216	Pelitinib (EKB-569)	73.91	active
R4A_0002216_001	SPE_A18763547	0.038905886	inactive	N	SPE_A18763547	BAX-channel-blocker	123.08	active
R4A_0000537_001	SPE_K58726989	-0.056739962	inactive	N	SPE_K58726989	HTH-01-015	103.21	active
R4A_0004206_001	SPE_K90195324	0.033908111	inactive	N	SPE_K90195324	Bazedoxifene HCl	57.23	active
R4A_0001522_001	SPE_K19034817	-0.083516502	inactive	N	SPE_K19034817	Pacritinib (SB1518)	78.83	active
R4A_0002343_001					SPE_K90316462	MK2-IN-1 (hydrochloride)	103.89	active
R4A_0002137_001	SPE_K33245965	-0.086076213	inactive	N	SPE_K33245965	BMS-833923 (XL139)	67.37	active
R4A_0001301_001	SPE_K63828191	0.065103102	inactive	N	SPE_K63828191	RALOXIFENE HYDROCHLORIDE	74.56	active
R4A_0004245_001	SPE_K77625799	0.037308305	inactive	N	SPE_K77625799	Vandetanib (ZD6474)	105.2	active
R4A_0003697_001					SPE_K61250553	LOPERAMIDE HYDROCHLORIDE	67.25	active
R4A_0004288_001	SPE_K66175015	-0.102197445	inactive	N	SPE_K66175015	Afatinib (dimaleate)	108.27	active
R4A_0001951_001	SPE_K30867024	-0.068641382	inactive	N	SPE_K30867024	SB-216641	81.47	active
R4A_0001572_001	SPE_K02017404	-0.036454514	inactive	N	SPE_K02017404	NVP-BSK805 2HCl	73.33	active
R4A_0003146_001	SPE_K26818574	-0.10366661	inactive	N	SPE_K26818574	BIX 01294	142.41	active
R4A_0001509_001					SPE_K03765900	Tesevatinib	55.47	active
R4A_0005316_001	SPE_K62996583	0.908761161	active	Y	SPE_K62996583	lidoflazine	52.58	active
R4A_0004454_001	SPE_K78122587	0.076211566	inactive	N	SPE_K78122587	NNC-55-0396	68.08	active
R4A_0002207_001	SPE_K92723993	0.28513566	inactive	N	SPE_K92723993	Imatinib Mesylate (STI571)	65.56	active
R4A_0001314_001	SPE_K09549677	0.973546256	active	Y	SPE_K09549677	mibefradil	88.24	active
R4A_0005123_001	SPE_K11911061	0.001481977	inactive	N	SPE_K11911061	GR-127935	142.31	active
R4A_0004700_001	SPE_K71035033	0.442919326	inactive	N	SPE_K71035033	Masitinib (AB1010)	54.05	active
R4A_0000999_001	SPE_A51964809	0.777081072	active	Y	SPE_A51964809	Halofantrine?HCl	68.82	active
R4A_0000866_001	SPE_K45662124	0.000466482	inactive	N	SPE_K45662124	3'-fluorobenzylspiperone	88.95	active
R4A_0000562_001	SPE_K87021635	-0.088739748	inactive	N	SPE_K87021635	CZC-54252	51.43	active
R4A_0004401_001	SPE_K33622447	-0.058220363	inactive	N	SPE_K33622447	abemaciclib (LY2835219)	76.72	active
R4A_0003556_001	SPE_K86856088	1.116080959	active	Y	SPE_K86856088	UNC0638	60.73	active
R4A_0003263_001	SPE_K68532323	0.253528293	inactive	N	SPE_K68532323	SB-743921	92.65	active
R4A_0003518_001	SPE_K64881305	-0.124951239	inactive	N	SPE_K64881305	Ispinesib (SB-715992)	75.73	active
R4A_0004997_001	SPE_K64890080	0.029735644	inactive	N	SPE_K64890080	BI 2536	66.75	active
R4A_0000859_001	SPE_K97764662	-0.024649855	inactive	N	SPE_K97764662	PD173074	90.14	active
R4A_0001928_001	SPE_K12502280	-0.041954894	inactive	N	SPE_K12502280	"Fedratinib (SAR302503, TG101348)"	121.61	active
R4A_0003170_001	SPE_K56032964	0.096047934	inactive	N	SPE_K56032964	AP26113	51.77	active
R4A_0004194_001	SPE_K99964838	0.065859642	inactive	N	SPE_K99964838	bosutinib	68	active
R4A_0000319_001	SPE_K34362291	-0.073401336	inactive	N	SPE_K34362291	TC-S-7003	81.65	active
R4A_0000429_001	SPE_K03390685	0.068866573	inactive	N	SPE_K03390685	Cobimetinib	78.8	active
R4A_0002587_001	SPE_K97152684	-0.176916939	inactive	N	SPE_K97152684	PD-161570	69.23	active
R4A_0003163_001	SPE_K19540840	-0.098795541	inactive	N	SPE_K19540840	Saracatinib (AZD0530)	58.54	active
R4A_0005378_001	SPE_K92428232	-0.050731501	inactive	N	SPE_K92428232	GSK461364	75.06	active
R4A_0004315_001	SPE_K43436647	-0.06568567	inactive	N	SPE_K43436647	ARQ 621	68.4	active
R4A_0000137_001	SPE_K61845293	0.003810144	inactive	N	SPE_K61845293	DDR1-IN-1	99.06	active
R4A_0005452_001	SPE_K05524748	-0.135071279	inactive	N	SPE_K05524748	Dronedarone HCl (Multaq)	74.91	active
R4A_0004432_001	SPE_K22149900	-0.031856502	inactive	N	SPE_K22149900	Ceritinib	50.94	active
R4A_0003505_001	SPE_K12068470	0.956421857	active	Y	SPE_K12068470	LY2608204	55.77	active
R4A_0001311_001	SPE_K39009484	-0.137292757	inactive	N	SPE_K39009484	Entrectinib (RXDX-101)	96.46	active
R4A_0001270_001	SPE_K48059512	-0.002997806	inactive	N	SPE_K48059512	TAK-960	69.42	active
R4A_0001101_001	SPE_K43002771	0.072974948	inactive	N	SPE_K43002771	SR-33805 oxalate	84.73	active
R4A_0003481_001	SPE_K95260951	0.661486777	active	Y	SPE_K95260951	asenapine maleate	65.24	active
R4A_0004345_001	SPE_K30425481	1.07328898	active	Y	SPE_K30425481	L-760735	71.16	active
R4A_0000272_001					SPE_K72827473	CEP-37440	138.77	active
R4A_0000268_001	SPE_K19687926	-0.024373746	inactive	N	SPE_K19687926	Lapatinib (GW-572016) Ditosylate	91.36	active
R4A_0003625_001	SPE_K48722258	0.069379419	inactive	N	SPE_K48722258	dilazep	58.72	active
R4A_0005262_001	SPE_K96194081	-0.051692722	inactive	N	SPE_K96194081	CEPHARANTHINE	56.98	active
R4A_0004090_001	SPE_K44309363	0.007120329	inactive	N	SPE_K44309363	dexniguldipine	59.79	active
R4A_0000955_001	SPE_A21428877	0.00658723	inactive	N	SPE_A21428877	SNAP-5089	60.59	active
R4A_0004105_001					SPE_K69776681	BI6727 (Volasertib)	81.51	active
R4A_0000644_001	SPE_K03449891	-0.10999905	inactive	N	SPE_K03449891	"Foretinib (GSK1363089, XL880)"	80.07	active
R4A_0001778_001					SPE_K17561142	AMIODARONE HYDROCHLORIDE	55.14	active
R4A_0002494_001	SPE_K92213669	0.047447982	inactive	N	SPE_K92213669	Lomitapide	62.48	active
R4A_0003434_001					SPE_A78210457	RG7112 (RO5045337)	106.07	active
R4A_0001680_001					SPE_K61230716	Sodium Nitrite	-3.53	inactive
R4A_0001190_001	SPE_K79277568	0.060397002	inactive	N	SPE_K79277568	methoxyamine	-3.8	inactive
R4A_0005457_001	SPE_K76037122	-0.148611302	inactive	N	SPE_K76037122	GUANIDINE HYDROCHLORIDE	-3.15	inactive
R4A_0005024_001	SPE_K88052444	-0.076989045	inactive	N	SPE_K88052444	UREA	-2.14	inactive
R4A_0002829_001					SPE_M00184283	sodium acrylate	-4.99	inactive
R4A_0001305_001					SPE_K25114078	PIMAGEDINE HYDROCHLORIDE	-12.98	inactive
R4A_0003822_001	SPE_K21615095	-0.104919488	inactive	N	SPE_K21615095	ACETOHYDROXAMIC ACID	2.78	inactive
R4A_0000729_001	SPE_K72369578	-0.026435798	inactive	N	SPE_K72369578	Glycine	-0.53	inactive
R4A_0004536_001	SPE_K51747290	-0.001720365	inactive	N	SPE_K51747290	HYDROXYUREA	-3.87	inactive
R4A_0004233_001	SPE_K92611362	-0.103575968	inactive	N	SPE_K92611362	CYSTEAMINE HYDROCHLORIDE	-5.61	inactive
R4A_0002464_001	SPE_K68534611	-0.022742494	inactive	N	SPE_K68534611	2-methyl-1H-imidazole	0.94	inactive
R4A_0002284_001					SPE_K86587225	2-oxopropanoate	-8.52	inactive
R4A_0000928_001					SPE_K05878375	Sodium butyrate	-6.95	inactive
R4A_0004660_001	SPE_K54057105	-0.078578139	inactive	N	SPE_K54057105	Isobutyramide	-3.55	inactive
R4A_0002106_001	SPE_K75282878	0.00349659	inactive	N	SPE_K75282878	putrescine	-4.38	inactive
R4A_0003828_001	SPE_K11984358	-0.059151473	inactive	N	SPE_K11984358	ZAMI-633	-5.29	inactive
R4A_0001931_001	SPE_K24297741	-0.081894279	inactive	N	SPE_K24297741	URETHANE	-6.37	inactive
R4A_0003545_001	SPE_K25125382	-0.116592305	inactive	N	SPE_K25125382	L-alanine	5.32	inactive
R4A_0001036_001	SPE_K51263939	-0.007861087	inactive	N	SPE_K51263939	sarcosine	-4.12	inactive
R4A_0004655_001	SPE_K22346679	-0.108730573	inactive	N	SPE_K22346679	"1,4-butanediol"	-3.35	inactive
R4A_0001723_001					SPE_K76549667	phenol	2.3	inactive
R4A_0002920_001	SPE_K22482860	0.017121687	inactive	N	SPE_K22482860	FAMPRIDINE	-3.01	inactive
R4A_0003516_001	SPE_K90042229	-0.058625354	inactive	N	SPE_K90042229	pyrrolidine-1-carbonitrile	-7.33	inactive
R4A_0000856_001					SPE_K99308954	SODIUM MONOFLUOROPHOSPHATE	-5.08	inactive
R4A_0001436_001	SPE_K39371216	-0.068873012	inactive	N	SPE_K39371216	CYACETACIDE	-6.26	inactive
R4A_0003664_001	SPE_K13421763	-0.091959094	inactive	N	SPE_K13421763	AMINOTHIAZOLE	-6.21	inactive
R4A_0004635_001	SPE_K73234506	-0.072689344	inactive	N	SPE_K73234506	Lithium acetoacetate	1.77	inactive
R4A_0003216_001	SPE_K66465025	-0.054330166	inactive	N	SPE_K66465025	1-Aminocyclopropanecarboxylic acid	0.83	inactive
R4A_0003614_001					SPE_K94837153	aminothiadiazole	-3.67	inactive
R4A_0003905_001	SPE_K90069354	-0.000433393	inactive	N	SPE_K90069354	Isovaleramide	-2.37	inactive
R4A_0003778_001	SPE_K91614056	-0.015059053	inactive	N	SPE_K91614056	trans-4-Hydroxycrotonic-acid	-4.68	inactive
R4A_0000868_001	SPE_K87226815	0.034138321	inactive	N	SPE_K87226815	CYCLOSERINE (D)	-0.5	inactive
R4A_0004672_001	SPE_A41387824	-0.052684054	inactive	N	SPE_A41387824	beta-Hydroxybutyrate	2.83	inactive
R4A_0003989_001					SPE_K82166906	SODIUM OXYBATE	-1.27	inactive
R4A_0000433_001					SPE_K77245796	gamma-AMINOBUTYRIC ACID HYDROCHLORIDE	-6.43	inactive
R4A_0004439_001	SPE_K81623406	0.014945637	inactive	N	SPE_K81623406	(ethylsulfanyl)methanimidamide hydrobromide	-3.01	inactive
R4A_0002673_001	SPE_K71822263	-0.075990729	inactive	N	SPE_K71822263	D-serine	0.12	inactive
R4A_0005383_001	SPE_K04552268	0.021189951	inactive	N	SPE_K04552268	4-pyrimidinecarbonitrile	-3.1	inactive
R4A_0001632_001	SPE_K95015809	-0.032522384	inactive	N	SPE_K95015809	2-cyanopyrimidine	-5.87	inactive
R4A_0000701_001	SPE_K81645907	-0.007427303	inactive	N	SPE_K81645907	CAPTAMINE	1.7	inactive
R4A_0002697_001	SPE_K76600340	-0.074209561	inactive	N	SPE_K76600340	NICOTINYL ALCOHOL TARTRATE	-0.76	inactive
R4A_0003197_001	SPE_K80262108	0.008058044	inactive	N	SPE_K80262108	"Pyridine-3,4-diamine"	-1.71	inactive
R4A_0003502_001	SPE_K11227669	-0.06957007	inactive	N	SPE_K11227669	HYDROQUINONE	-3.83	inactive
R4A_0001142_001	SPE_K74190368	-0.135335201	inactive	N	SPE_K74190368	RESORCINOL	-3.42	inactive
R4A_0000334_001					SPE_A78195072	IMEXON	-6.93	inactive
R4A_0002916_001	SPE_K01674964	-0.081750965	inactive	N	SPE_K01674964	HISTAMINE DIHYDROCHLORIDE	-3.34	inactive
R4A_0002015_001					SPE_K20075662		-0.16	inactive
R4A_0001711_001	SPE_K80129304	0.005787081	inactive	N	SPE_K80129304	URACIL	-8.91	inactive
R4A_0004783_001					SPE_K55892330	sorbic-acid	-3.82	inactive
R4A_0005296_001	SPE_K26824830	-0.017539165	inactive	N	SPE_K26824830	Azomycin (2-Nitroimidazole)	-0.75	inactive
R4A_0000695_001	SPE_K13495773	0.049218445	inactive	N	SPE_K13495773	Creatinine	-2.8	inactive
R4A_0005364_001	SPE_K08288352	-0.08864052	inactive	N	SPE_K08288352	1-Ethyl-2-pyrrolidone	8.03	inactive
R4A_0001434_001					SPE_K34437622	5-FP	-8.73	inactive
R4A_0004488_001	SPE_K06050544	-0.056153361	inactive	N	SPE_K06050544	(D)-5-methylhydantoin	-2.09	inactive
R4A_0004488_002					SPE_K56033645		-6.33	inactive
R4A_0005400_001	SPE_K60441002	-0.072794494	inactive	N	SPE_K60441002	muscimol	-0.22	inactive
R4A_0000463_001	SPE_K95941975	-0.013160443	inactive	N	SPE_K95941975	piperazinedione	-1.53	inactive
R4A_0003307_001	SPE_K54416256	-0.068387887	inactive	N	SPE_K54416256	METHIMAZOLE	-2.34	inactive
R4A_0002428_001					SPE_K60600693	Sodium orthovanadate	-5.9	inactive
