R4A_Id	CompoundID	PLD_Effect(%)_A549-ACE2	Label_A549-ACE2	HIT_Phospholipidosis  Y/N	CompoundID_dupl	NAME	PLD_Effect(%)_VERO-E6	Label_VERO-E6
R4A_0004135_001	SPE_K88153212	-0.024242814	inactive	N	SPE_K88153212	Tetradecyl Nicotinate	3.32	inactive
R4A_0004419_001	SPE_A48376327	0.058422687	inactive	N	SPE_A48376327	igmesine	27.71	inactive
R4A_0002244_001					SPE_K97688263	Benzamil HCl	17.21	inactive
R4A_0005462_001	SPE_A54275602	-0.049358027	inactive	N	SPE_A54275602	Lanoconazole	0.65	inactive
R4A_0004679_001	SPE_A91699651	0.053976347	inactive	N	SPE_A91699651	CHLOROQUINE DIPHOSPHATE	18.02	inactive
R4A_0002003_001	SPE_A31204924	-0.074890811	inactive	N	SPE_A31204924	MITOTANE	-2.25	inactive
R4A_0002123_001	SPE_K01614093	-0.118870725	inactive	N	SPE_K01614093	Dihydromyricetin	-1.12	inactive
R4A_0001423_001	SPE_K80431395	-0.025776469	inactive	N	SPE_K80431395	triciribine	-1.63	inactive
R4A_0001596_001	SPE_K78113049	-0.096781581	inactive	N	SPE_K78113049	ENOXACIN	-7.56	inactive
R4A_0001441_001	SPE_K63750851	0.007187789	inactive	N	SPE_K63750851	MYCOPHENOLIC ACID	-0.26	inactive
R4A_0000667_001	SPE_K64834129	0.050824588	inactive	N	SPE_K64834129	eterobarb	-0.57	inactive
R4A_0001880_001					SPE_K30707190	PNU-74654	-3.82	inactive
R4A_0001109_001	SPE_K43992824	-0.081910148	inactive	N	SPE_K43992824	zoniporide	-1.94	inactive
R4A_0002575_001	SPE_K94534639	-0.098103235	inactive	N	SPE_K94534639	LY2811376	1.83	inactive
R4A_0004055_001	SPE_K99077012	-0.125703213	inactive	N	SPE_K99077012	befuraline	1.62	inactive
R4A_0003938_001	SPE_K00615600	0.065312788	inactive	N	SPE_K00615600	AG14361	10.75	inactive
R4A_0003231_001	SPE_K54955827	-0.067135346	inactive	N	SPE_K54955827	Niraparib	-1.55	inactive
R4A_0003812_001	SPE_K29895144	-0.13141432	inactive	N	SPE_K29895144	SKLB1002	-3.89	inactive
R4A_0003157_001	SPE_K28639661	-0.04687289	inactive	N	SPE_K28639661	NGD-94-1	3.76	inactive
R4A_0003880_001	SPE_A91733352	-0.067556265	inactive	N	SPE_A91733352	CAMYLOFINE DIHYDROCHLORIDE	13.66	inactive
R4A_0002471_001					SPE_A87479750	tenidap	-2.11	inactive
R4A_0004641_001	SPE_K78513633	-0.002121091	inactive	N	SPE_K78513633	lonidamine	0.38	inactive
R4A_0001232_001					SPE_A26835809	PX-478 2HCl	3.55	inactive
